"","x"
"1","religion"
"2","devil"
"3","god"
"4","jesus"
"5","bibl"
"6","allah"
"7","torah"
"8","gospel"
"9","apostl"
"10","buddha "
"11","prophet"
"12","muham"
"13","moham"
"14","adam"
"15","eve"
"16","eden"
"17","garden"
"18","sin"
"19","heaven "
"20","hell"
"21","purgatori"
"22","inferno"
"23","brimston"
"24","cane"
"25","abel"
"26","mose"
"27","sabbath"
"28","repent"
"29","reconcili"
"30","mecca"
"31","medina"
"32","islam"
"33","christian"
"34","jew"
"35","judaism"
"36","muslim"
"37","isaac"
"38","judah"
"39","lucif"
"40","noah"
"41","ark"
"42","bethlehem"
"43","mari"
"44","joseph"
"45","sacr"
"46","sacrement"
"47","church"
"48","synagogu"
"49","templ"
"50","mosqu"
"51","steepl"
"52","medit"
"53","pray"
"54","ashram"
"55","cathedr"
"56","crucifix"
"57","christ"
"58","david"
"59","nativ"
"60","manger"
